0,240,42,90,46.7,12,25,48.0,19,29,65.5,14,35,49,28,7,7,16,22
0,240,33,87,37.9,4,20,20.0,23,32,71.9,18,34,52,23,9,3,19,24
1,239,43,75,57.3,2,10,20.0,32,37,86.5,9,31,40,20,9,11,18,26
0,240,35,88,39.8,6,20,30.0,23,26,88.5,13,29,42,19,5,6,15,33
0,239,31,85,36.5,7,21,33.3,18,20,90.0,14,26,40,19,4,3,13,19
1,266,43,107,40.2,11,34,32.4,19,21,90.5,15,46,61,25,6,10,14,26
1,240,41,90,45.6,9,18,50.0,17,23,73.9,15,28,43,28,11,6,7,27
0,240,33,85,38.8,4,18,22.2,18,20,90.0,12,30,42,24,5,2,17,22
1,240,36,74,48.6,5,14,35.7,31,41,75.6,15,32,47,18,6,5,11,19
1,239,42,87,48.3,10,20,50.0,14,17,82.4,13,31,44,29,6,6,10,16
1,264,37,91,40.7,17,40,42.5,23,27,85.2,9,34,43,19,5,2,10,21
1,241,32,78,41.0,5,11,45.5,26,38,68.4,15,31,46,22,8,12,11,23
1,240,43,87,49.4,12,28,42.9,10,11,90.9,11,27,38,25,4,9,10,17
0,240,30,80,37.5,3,16,18.8,23,33,69.7,11,35,46,18,10,10,22,27
0,240,38,95,40.0,9,37,24.3,12,20,60.0,14,26,40,27,13,6,12,18
1,239,42,87,48.3,8,25,32.0,20,23,87.0,14,26,40,30,10,6,11,21
0,239,39,88,44.3,6,26,23.1,9,11,81.8,8,33,41,23,5,4,11,17
0,241,33,83,39.8,7,17,41.2,20,29,69.0,13,40,53,14,2,0,13,21
1,240,40,90,44.4,11,34,32.4,14,28,50.0,18,42,60,22,3,6,13,23
0,241,36,88,40.9,4,17,23.5,16,26,61.5,11,36,47,18,7,3,12,23
0,241,32,80,40.0,4,9,44.4,19,24,79.2,12,32,44,17,11,9,22,36
1,240,32,81,39.5,3,10,30.0,16,21,76.2,16,27,43,18,11,1,12,25
1,239,43,70,61.4,5,9,55.6,18,28,64.3,11,41,52,33,5,13,19,26
1,266,46,102,45.1,12,35,34.3,19,23,82.6,14,39,53,27,6,7,16,18
1,239,40,85,47.1,3,9,33.3,28,36,77.8,7,41,48,32,6,5,12,20
0,239,35,85,41.2,5,20,25.0,21,24,87.5,13,31,44,22,9,2,18,22
1,239,38,89,42.7,1,8,12.5,23,27,85.2,16,43,59,30,9,5,15,16
1,241,38,74,51.4,9,27,33.3,16,22,72.7,4,38,42,18,8,2,21,19
0,240,36,87,41.4,16,51,31.4,21,28,75.0,9,40,49,25,3,6,11,15
1,240,38,87,43.7,7,17,41.2,13,15,86.7,13,40,53,21,2,5,7,18
0,241,30,68,44.1,10,26,38.5,23,29,79.3,8,24,32,17,4,6,13,28
0,241,36,91,39.6,5,13,38.5,23,30,76.7,18,37,55,14,5,7,15,22
1,239,38,76,50.0,9,19,47.4,18,21,85.7,9,35,44,24,4,2,14,25
0,241,33,81,40.7,5,18,27.8,8,13,61.5,7,32,39,21,11,5,9,10
1,239,36,83,43.4,7,17,41.2,17,23,73.9,12,37,49,25,10,5,12,19
0,240,31,81,38.3,7,20,35.0,23,31,74.2,14,30,44,19,9,7,24,17
1,241,36,76,47.4,8,21,38.1,19,25,76.0,6,38,44,19,6,10,12,21
1,240,44,87,50.6,5,8,62.5,19,25,76.0,10,29,39,35,15,7,10,27
1,239,36,87,41.4,2,16,12.5,24,37,64.9,7,38,45,20,10,2,7,14
0,240,34,76,44.7,5,14,35.7,21,24,87.5,17,23,40,15,7,4,16,30
0,240,31,85,36.5,3,10,30.0,6,13,46.2,19,30,49,24,4,9,15,16
0,240,41,94,43.6,11,24,45.8,11,18,61.1,12,37,49,24,8,3,16,27
0,240,34,77,44.2,4,18,22.2,24,29,82.8,13,32,45,18,7,5,15,22
1,240,43,93,46.2,11,27,40.7,8,10,80.0,14,34,48,24,6,6,9,17
0,240,36,94,38.3,11,37,29.7,18,22,81.8,10,33,43,20,8,2,11,15
1,242,36,77,46.8,5,10,50.0,17,27,63.0,13,34,47,27,13,3,10,16
1,240,34,77,44.2,4,18,22.2,19,21,90.5,7,34,41,25,10,7,12,24
0,240,28,72,38.9,9,25,36.0,18,23,78.3,12,31,43,13,3,7,19,22
